epoch,train_loss,val_loss,method
0,1.8935155496001244,1.6888051629066467,Kaiming (Baseline)
1,1.5815330669283867,1.4879560321569443,Kaiming (Baseline)
2,1.3728624880313873,1.3124668300151825,Kaiming (Baseline)
3,1.2185784317553043,1.2464108169078827,Kaiming (Baseline)
4,1.1196891739964485,1.1530565172433853,Kaiming (Baseline)
5,1.0116089656949043,1.1572295874357224,Kaiming (Baseline)
6,0.9750140812247992,1.0790871605277061,Kaiming (Baseline)
7,0.8780307024717331,1.1080361530184746,Kaiming (Baseline)
8,0.8249517548829317,1.080072395503521,Kaiming (Baseline)
9,0.798141460865736,1.0659861862659454,Kaiming (Baseline)
10,0.758687986060977,1.0817488729953766,Kaiming (Baseline)
11,0.6930003967136145,1.0373665615916252,Kaiming (Baseline)
12,0.6617690762504935,1.0516458079218864,Kaiming (Baseline)
13,0.6203452628105879,1.1351935490965843,Kaiming (Baseline)
14,0.6059761298820376,1.0818381607532501,Kaiming (Baseline)
15,0.5303662633523345,1.1596532985568047,Kaiming (Baseline)
16,0.49915284011512995,1.0864569023251534,Kaiming (Baseline)
17,0.449364366941154,1.0971702858805656,Kaiming (Baseline)
18,0.4364686645567417,1.1504741534590721,Kaiming (Baseline)
19,0.4066927656531334,1.2353754118084908,Kaiming (Baseline)
0,1.8950416781008244,1.6926617175340652,Inter-Layer Orthogonal
1,1.56440644338727,1.4768024533987045,Inter-Layer Orthogonal
2,1.3559367693960667,1.322146788239479,Inter-Layer Orthogonal
3,1.223240528255701,1.2206384241580963,Inter-Layer Orthogonal
4,1.1054498944431543,1.1611127853393555,Inter-Layer Orthogonal
5,1.014697415754199,1.092968538403511,Inter-Layer Orthogonal
6,0.9520393516868353,1.087589517235756,Inter-Layer Orthogonal
7,0.8854498639702797,1.0225175246596336,Inter-Layer Orthogonal
8,0.8252718634903431,1.0609468147158623,Inter-Layer Orthogonal
9,0.7785314302891493,1.031157560646534,Inter-Layer Orthogonal
10,0.7418144941329956,1.075198233127594,Inter-Layer Orthogonal
11,0.6940056383609772,1.0620025992393494,Inter-Layer Orthogonal
12,0.651682335883379,1.0382432043552399,Inter-Layer Orthogonal
13,0.6217476120218635,1.0522664785385132,Inter-Layer Orthogonal
14,0.5909911347553134,1.0717906057834625,Inter-Layer Orthogonal
15,0.5296864397823811,1.1026545241475105,Inter-Layer Orthogonal
16,0.5081204082816839,1.0836391374468803,Inter-Layer Orthogonal
17,0.4601306337863207,1.1087413802742958,Inter-Layer Orthogonal
18,0.4480904098600149,1.1368200331926346,Inter-Layer Orthogonal
19,0.42652517184615135,1.101943351328373,Inter-Layer Orthogonal
